,Final Price,Bidders,Duration,Price Dif Mean,Price Dif SD,Time Dif Mean,Time Dif SD
97,49.99,1.0,5.0,0.0,0.0,115954.0,0.0
98,396.0,8.0,5.0,5.461538461538462,8.723678358500162,33230.769230769234,60669.371381768695
99,147.5,21.0,3.0,3.0520833333333335,2.3091851361265516,5399.979166666667,26719.677120524655
100,315.0,1.0,3.0,0.0,0.0,239991.0,0.0
101,590.0,7.0,3.0,8.5,5.642880936468347,12375.55,27471.686926294056
102,190.0,12.0,5.0,6.300333333333334,8.981396667108854,3132.133333333333,76485.25936852973
103,315.0,3.0,3.0,5.625,3.5,16199.625,71364.16406187353
104,10.5,3.0,10.0,1.1,1.6733200530681511,161525.2,228916.75590856167
105,8.5,2.0,10.0,1.75,1.7677669529663689,400398.0,541515.1009547195
106,10.5,3.0,10.0,1.1,1.3416407864998738,161625.4,233462.44950162756
107,30.0,11.0,10.0,1.1363636363636365,1.0203339577223651,34789.59090909091,58641.36957217887
108,510.0,4.0,1.0,5.0,3.5355339059327378,17278.2,32544.558910822558
109,128.5,29.0,10.0,2.287037037037037,2.00093716687261,15999.944444444445,57399.413282589696
110,132.5,9.0,7.0,2.1923076923076925,1.9317819174322495,15506.205128205129,60241.58907580267
111,25.0,10.0,10.0,1.0526315789473684,0.9137033441821206,45081.68421052631,90706.71934564876
112,31.0,9.0,10.0,1.4444444444444444,0.9217771979249536,47483.72222222222,205346.21153348216
113,1277.05,6.0,7.0,34.631249999999994,30.347074906111494,75599.25,85606.06193614028
